,year,state,party_win,winner_votes,state_total_votes,electoral_votes,votes_to_flip,national_winner,winner_state
118,1984,MAINE,REPUBLICAN,336500,553144,4.0,60994.0,R,True
119,1984,MARYLAND,REPUBLICAN,879918,1675873,10.0,45993.0,R,True
120,1984,MASSACHUSETTS,REPUBLICAN,1310936,2559383,13.0,35666.0,R,True
121,1984,MICHIGAN,REPUBLICAN,2251571,3801658,20.0,360968.0,R,True
122,1984,MINNESOTA,DEMOCRAT,1036364,2084449,10.0,1882.0,R,False
123,1984,MISSISSIPPI,REPUBLICAN,582377,941104,7.0,115094.0,R,True
124,1984,MISSOURI,REPUBLICAN,1274188,2122771,11.0,212804.0,R,True
125,1984,MONTANA,REPUBLICAN,232450,384377,4.0,42855.0,R,True
126,1984,NEBRASKA,REPUBLICAN,460054,652090,5.0,136095.0,R,True
127,1984,NEVADA,REPUBLICAN,188770,282717,4.0,48559.0,R,True
128,1984,NEW HAMPSHIRE,REPUBLICAN,267050,388904,4.0,73353.0,R,True
129,1984,NEW JERSEY,REPUBLICAN,1933630,3217862,16.0,336155.0,R,True
130,1984,NEW MEXICO,REPUBLICAN,307101,514370,5.0,52667.0,R,True
131,1984,NEW YORK,REPUBLICAN,3376519,6806810,36.0,187618.0,R,True
132,1984,NORTH CAROLINA,REPUBLICAN,1346481,2175361,13.0,261098.0,R,True
133,1984,NORTH DAKOTA,REPUBLICAN,200336,308971,3.0,47955.0,R,True
134,1984,OHIO,REPUBLICAN,2678559,4563235,23.0,426561.0,R,True
135,1984,OKLAHOMA,REPUBLICAN,861530,1255676,8.0,238226.0,R,True
136,1984,OREGON,REPUBLICAN,685700,1226527,7.0,74612.0,R,True
137,1984,PENNSYLVANIA,REPUBLICAN,2584323,4844903,25.0,178097.0,R,True
138,1984,RHODE ISLAND,REPUBLICAN,212080,410489,4.0,7488.0,R,True
139,1984,SOUTH CAROLINA,REPUBLICAN,615539,968529,8.0,135541.0,R,True
140,1984,SOUTH DAKOTA,REPUBLICAN,200267,317867,3.0,42078.0,R,True
141,1984,TENNESSEE,REPUBLICAN,990212,1711993,11.0,139250.0,R,True
142,1984,TEXAS,REPUBLICAN,3433428,5397571,29.0,742077.0,R,True
143,1984,UTAH,REPUBLICAN,469105,629656,5.0,156869.0,R,True
144,1984,VERMONT,REPUBLICAN,135865,234561,3.0,20069.0,R,True
145,1984,VIRGINIA,REPUBLICAN,1337078,2146635,12.0,270415.0,R,True
146,1984,WASHINGTON,REPUBLICAN,1051670,1874910,10.0,126660.0,R,True
147,1984,WEST VIRGINIA,REPUBLICAN,405483,735742,6.0,38680.0,R,True
148,1984,WISCONSIN,REPUBLICAN,1198584,2211689,11.0,101423.0,R,True
149,1984,WYOMING,REPUBLICAN,133241,188968,3.0,39937.0,R,True
150,1988,ALABAMA,REPUBLICAN,815576,1378476,9.0,133036.0,R,True
151,1988,ALASKA,REPUBLICAN,119251,200116,3.0,23335.0,R,True
152,1988,ARIZONA,REPUBLICAN,702541,1171873,7.0,124257.0,R,True
153,1988,ARKANSAS,REPUBLICAN,466578,827738,6.0,58672.0,R,True
154,1988,CALIFORNIA,REPUBLICAN,5054917,9887065,47.0,176343.0,R,True
155,1988,COLORADO,REPUBLICAN,728177,1372394,8.0,53363.0,R,True
156,1988,CONNECTICUT,REPUBLICAN,750241,1443394,8.0,36830.0,R,True
157,1988,DELAWARE,REPUBLICAN,139639,249891,3.0,15497.0,R,True
158,1988,FLORIDA,REPUBLICAN,2618885,4302313,21.0,481093.0,R,True
159,1988,GEORGIA,REPUBLICAN,1081331,1809672,12.0,183271.0,R,True
160,1988,HAWAII,DEMOCRAT,192364,354461,4.0,16871.0,R,False
161,1988,IDAHO,REPUBLICAN,253881,408968,4.0,53306.0,R,True
162,1988,ILLINOIS,REPUBLICAN,2310939,4559120,24.0,47501.0,R,True
163,1988,INDIANA,REPUBLICAN,1297763,2168621,12.0,218561.0,R,True
164,1988,IOWA,DEMOCRAT,670557,1225614,8.0,62602.0,R,False
165,1988,KANSAS,REPUBLICAN,554049,993044,7.0,65708.0,R,True
166,1988,KENTUCKY,REPUBLICAN,734281,1322517,9.0,76958.0,R,True
167,1988,LOUISIANA,REPUBLICAN,883702,1628202,10.0,83122.0,R,True
168,1988,MAINE,REPUBLICAN,307131,555035,4.0,31782.0,R,True
169,1988,MARYLAND,REPUBLICAN,876167,1714358,10.0,24933.0,R,True
170,1988,MASSACHUSETTS,DEMOCRAT,1401415,2632801,13.0,103391.0,R,False
171,1988,MICHIGAN,REPUBLICAN,1965486,3669163,20.0,144853.0,R,True
172,1988,MINNESOTA,DEMOCRAT,1109471,2096790,10.0,73568.0,R,False
173,1988,MISSISSIPPI,REPUBLICAN,557890,931527,7.0,96986.0,R,True
174,1988,MISSOURI,REPUBLICAN,1084953,2093228,11.0,41668.0,R,True
175,1988,MONTANA,REPUBLICAN,190412,365674,4.0,10739.0,R,True
176,1988,NEBRASKA,REPUBLICAN,397956,661465,5.0,69362.0,R,True
177,1988,NEVADA,REPUBLICAN,206040,343133,4.0,36652.0,R,True
178,1988,NEW HAMPSHIRE,REPUBLICAN,281537,450525,4.0,58922.0,R,True
179,1988,NEW JERSEY,REPUBLICAN,1743192,3099553,16.0,211421.0,R,True
180,1988,NEW MEXICO,REPUBLICAN,270341,521387,5.0,12923.0,R,True
181,1988,NEW YORK,DEMOCRAT,3255487,6485683,36.0,208538.0,R,False
182,1988,NORTH CAROLINA,REPUBLICAN,1237258,2134370,13.0,173547.0,R,True
183,1988,NORTH DAKOTA,REPUBLICAN,166559,297261,3.0,19411.0,R,True
184,1988,OHIO,REPUBLICAN,2416549,4393585,23.0,238461.0,R,True
185,1988,OKLAHOMA,REPUBLICAN,678367,1171036,8.0,97473.0,R,True
186,1988,OREGON,DEMOCRAT,616206,1201694,7.0,28041.0,R,False
187,1988,PENNSYLVANIA,REPUBLICAN,2300087,4536251,25.0,52573.0,R,True
188,1988,RHODE ISLAND,DEMOCRAT,225123,404622,4.0,23682.0,R,False
189,1988,SOUTH CAROLINA,REPUBLICAN,606443,986009,8.0,117946.0,R,True
190,1988,SOUTH DAKOTA,REPUBLICAN,165415,312991,3.0,9929.0,R,True
191,1988,TENNESSEE,REPUBLICAN,947233,1636250,11.0,133721.0,R,True
192,1988,TEXAS,REPUBLICAN,3036829,5427410,29.0,342042.0,R,True
193,1988,UTAH,REPUBLICAN,428442,647008,5.0,110551.0,R,True
194,1988,VERMONT,REPUBLICAN,124331,243328,3.0,4279.0,R,True
195,1988,VIRGINIA,REPUBLICAN,1309162,2191609,12.0,224683.0,R,True
196,1988,WASHINGTON,DEMOCRAT,933516,1865253,10.0,14842.0,R,False
197,1988,WEST VIRGINIA,DEMOCRAT,341016,653311,6.0,15477.0,R,False
198,1988,WISCONSIN,DEMOCRAT,1126794,2191608,11.0,39649.0,R,False
199,1988,WYOMING,REPUBLICAN,106867,176551,3.0,19878.0,R,True
200,1992,ALABAMA,REPUBLICAN,804283,1688060,9.0,57103.0,D,False
201,1992,ALASKA,REPUBLICAN,102000,258506,3.0,11854.0,D,False
202,1992,ARIZONA,REPUBLICAN,572086,1486975,8.0,14519.0,D,False
203,1992,ARKANSAS,DEMOCRAT,505823,950653,6.0,84251.0,D,True
204,1992,CALIFORNIA,DEMOCRAT,5121325,11131721,54.0,745377.0,D,True
205,1992,COLORADO,DEMOCRAT,629681,1569180,8.0,33417.0,D,True
206,1992,CONNECTICUT,DEMOCRAT,682318,1616156,8.0,52004.0,D,True
207,1992,DELAWARE,DEMOCRAT,126054,289620,3.0,11872.0,D,True
208,1992,FLORIDA,REPUBLICAN,2173310,5313392,25.0,50807.0,D,False
209,1992,GEORGIA,DEMOCRAT,1008966,2321133,13.0,6858.0,D,True
210,1992,HAWAII,DEMOCRAT,179310,372842,4.0,21245.0,D,True
211,1992,IDAHO,REPUBLICAN,202645,482114,4.0,32817.0,D,False
212,1992,ILLINOIS,DEMOCRAT,2453350,5050157,22.0,359628.0,D,True
213,1992,INDIANA,REPUBLICAN,989375,2305871,12.0,70479.0,D,False
214,1992,IOWA,DEMOCRAT,586353,1354607,7.0,40732.0,D,True
215,1992,KANSAS,REPUBLICAN,449951,1157236,6.0,29760.0,D,False
216,1992,KENTUCKY,DEMOCRAT,665104,1492900,8.0,23964.0,D,True
217,1992,LOUISIANA,DEMOCRAT,815971,1790017,9.0,41294.0,D,True
218,1992,MAINE,DEMOCRAT,263420,679499,4.0,28301.0,D,True
219,1992,MARYLAND,DEMOCRAT,988571,1984580,10.0,140740.0,D,True
220,1992,MASSACHUSETTS,DEMOCRAT,1318639,2773664,12.0,256801.0,D,True
221,1992,MICHIGAN,DEMOCRAT,1871182,4274673,18.0,158122.0,D,True
222,1992,MINNESOTA,DEMOCRAT,1020997,2347948,10.0,136579.0,D,True
223,1992,MISSISSIPPI,REPUBLICAN,487793,981793,7.0,43769.0,D,False
224,1992,MISSOURI,DEMOCRAT,1053873,2391270,11.0,121358.0,D,True
225,1992,MONTANA,DEMOCRAT,154507,410583,3.0,5151.0,D,True
226,1992,NEBRASKA,REPUBLICAN,343678,737546,5.0,63408.0,D,False
227,1992,NEVADA,DEMOCRAT,189148,506318,4.0,6661.0,D,True
228,1992,NEW HAMPSHIRE,DEMOCRAT,209040,537215,4.0,3279.0,D,True
229,1992,NEW JERSEY,DEMOCRAT,1436206,3343594,15.0,39672.0,D,True
230,1992,NEW MEXICO,DEMOCRAT,261617,569986,5.0,24398.0,D,True
231,1992,NEW YORK,DEMOCRAT,3346894,7079432,33.0,652603.0,D,True
232,1992,NORTH CAROLINA,REPUBLICAN,1134661,2611850,14.0,10311.0,D,False
233,1992,NORTH DAKOTA,REPUBLICAN,136244,308133,3.0,18539.0,D,False
234,1992,OHIO,DEMOCRAT,1984942,4939967,21.0,45317.0,D,True
235,1992,OKLAHOMA,REPUBLICAN,592929,1390359,8.0,59933.0,D,False
236,1992,OREGON,DEMOCRAT,621314,1462643,7.0,72780.0,D,True
237,1992,PENNSYLVANIA,DEMOCRAT,2239164,4959810,23.0,223663.0,D,True
238,1992,RHODE ISLAND,DEMOCRAT,213299,453365,4.0,40850.0,D,True
239,1992,SOUTH CAROLINA,REPUBLICAN,577507,1228912,8.0,25998.0,D,False
240,1992,SOUTH DAKOTA,REPUBLICAN,136718,336254,3.0,5916.0,D,False
241,1992,TENNESSEE,DEMOCRAT,933521,1982638,11.0,46112.0,D,True
242,1992,TEXAS,REPUBLICAN,2496071,6154018,32.0,107129.0,D,False
243,1992,UTAH,REPUBLICAN,322632,743998,5.0,59617.0,D,False
244,1992,VERMONT,DEMOCRAT,133592,289701,3.0,22736.0,D,True
245,1992,VIRGINIA,REPUBLICAN,1150517,2559129,13.0,55935.0,D,False
246,1992,WASHINGTON,DEMOCRAT,993037,2287565,11.0,130903.0,D,True
247,1992,WEST VIRGINIA,DEMOCRAT,331001,683677,5.0,44515.0,D,True
248,1992,WISCONSIN,DEMOCRAT,1041066,2531064,11.0,55107.0,D,True
249,1992,WYOMING,REPUBLICAN,79347,199884,3.0,5595.0,D,False
250,1996,ALABAMA,REPUBLICAN,769044,1534349,9.0,53441.0,D,False
251,1996,ALASKA,REPUBLICAN,122746,241620,3.0,21184.0,D,False
252,1996,ARIZONA,DEMOCRAT,653288,1404405,8.0,15609.0,D,True
253,1996,ARKANSAS,DEMOCRAT,475171,884262,6.0,74879.0,D,True
254,1996,CALIFORNIA,DEMOCRAT,5119835,10019469,54.0,645728.0,D,True
255,1996,COLORADO,REPUBLICAN,691848,1510702,8.0,10349.0,D,False
256,1996,CONNECTICUT,DEMOCRAT,735740,1392614,8.0,126317.0,D,True
257,1996,DELAWARE,DEMOCRAT,140355,270810,3.0,20648.0,D,True
258,1996,FLORIDA,DEMOCRAT,2546870,5303154,25.0,151168.0,D,True
259,1996,GEORGIA,REPUBLICAN,1080843,2298899,13.0,13498.0,D,False
260,1996,HAWAII,DEMOCRAT,205012,360120,4.0,45536.0,D,True
261,1996,IDAHO,REPUBLICAN,256595,491711,4.0,45577.0,D,False
262,1996,ILLINOIS,DEMOCRAT,2341744,4311391,22.0,377363.0,D,True
263,1996,INDIANA,REPUBLICAN,1006693,2135431,12.0,59636.0,D,False
264,1996,IOWA,DEMOCRAT,620258,1234075,7.0,63808.0,D,True
265,1996,KANSAS,REPUBLICAN,583245,1074300,6.0,97794.0,D,False
266,1996,KENTUCKY,DEMOCRAT,636614,1388708,8.0,6667.0,D,True
267,1996,LOUISIANA,DEMOCRAT,927837,1783959,9.0,107627.0,D,True
268,1996,MAINE,DEMOCRAT,312788,605897,4.0,63206.0,D,True
269,1996,MARYLAND,DEMOCRAT,966207,1780870,10.0,142340.0,D,True
270,1996,MASSACHUSETTS,DEMOCRAT,1571509,2556459,12.0,426727.0,D,True
271,1996,MICHIGAN,DEMOCRAT,1989653,3848844,18.0,254222.0,D,True
272,1996,MINNESOTA,DEMOCRAT,1120380,2192492,10.0,176994.0,D,True
273,1996,MISSISSIPPI,REPUBLICAN,439838,893857,7.0,22909.0,D,False
274,1996,MISSOURI,DEMOCRAT,1025935,2158065,11.0,67961.0,D,True
275,1996,MONTANA,REPUBLICAN,179652,407083,3.0,5866.0,D,False
276,1996,NEBRASKA,REPUBLICAN,363467,677415,5.0,63354.0,D,False
277,1996,NEVADA,DEMOCRAT,203974,464279,4.0,2366.0,D,True
278,1996,NEW HAMPSHIRE,DEMOCRAT,246166,496597,4.0,24841.0,D,True
279,1996,NEW JERSEY,DEMOCRAT,1652361,3075860,15.0,274632.0,D,True
280,1996,NEW MEXICO,DEMOCRAT,273495,556074,5.0,20373.0,D,True
281,1996,NEW YORK,DEMOCRAT,3649630,6439129,33.0,955463.0,D,True
282,1996,NORTH CAROLINA,REPUBLICAN,1225938,2515807,14.0,59046.0,D,False
283,1996,NORTH DAKOTA,REPUBLICAN,125050,266411,3.0,9074.0,D,False
284,1996,OHIO,DEMOCRAT,2148222,4534434,21.0,144171.0,D,True
285,1996,OKLAHOMA,REPUBLICAN,582315,1206713,8.0,47106.0,D,False
286,1996,OREGON,DEMOCRAT,649641,1377760,7.0,55746.0,D,True
287,1996,PENNSYLVANIA,DEMOCRAT,2215819,4501307,23.0,207326.0,D,True
288,1996,RHODE ISLAND,DEMOCRAT,233050,390247,4.0,64185.0,D,True
289,1996,SOUTH CAROLINA,REPUBLICAN,573339,1150182,8.0,33595.0,D,False
290,1996,SOUTH DAKOTA,REPUBLICAN,150543,323826,3.0,5606.0,D,False
291,1996,TENNESSEE,DEMOCRAT,909146,1894105,11.0,22809.0,D,True
292,1996,TEXAS,REPUBLICAN,2736167,5611644,32.0,138243.0,D,False
293,1996,UTAH,REPUBLICAN,361911,665629,5.0,70140.0,D,False
294,1996,VERMONT,DEMOCRAT,137894,258449,3.0,28772.0,D,True
295,1996,VIRGINIA,REPUBLICAN,1138350,2416642,13.0,23646.0,D,False
296,1996,WASHINGTON,DEMOCRAT,1123323,2253837,11.0,141307.0,D,True
297,1996,WEST VIRGINIA,DEMOCRAT,327812,636459,5.0,46934.0,D,True
298,1996,WISCONSIN,DEMOCRAT,1071971,2196169,11.0,113472.0,D,True
299,1996,WYOMING,REPUBLICAN,105388,211571,3.0,13728.0,D,False
300,2000,ALABAMA,REPUBLICAN,941173,1666272,9.0,124282.0,R,True
301,2000,ALASKA,REPUBLICAN,167398,285560,3.0,44198.0,R,True
302,2000,ARIZONA,REPUBLICAN,781652,1532016,8.0,48157.0,R,True
303,2000,ARKANSAS,REPUBLICAN,472940,921781,6.0,25087.0,R,True
304,2000,CALIFORNIA,DEMOCRAT,5861203,10965822,54.0,646888.0,R,False
305,2000,COLORADO,REPUBLICAN,883748,1741368,8.0,72762.0,R,True
306,2000,CONNECTICUT,DEMOCRAT,816015,1459525,8.0,127462.0,R,False
307,2000,DELAWARE,DEMOCRAT,180068,327529,3.0,21391.0,R,False
308,2000,FLORIDA,REPUBLICAN,2912790,5963110,25.0,270.0,R,True
309,2000,GEORGIA,REPUBLICAN,1419720,2583208,13.0,151746.0,R,True
310,2000,HAWAII,DEMOCRAT,205286,367951,4.0,33722.0,R,False
311,2000,IDAHO,REPUBLICAN,336937,501615,4.0,99151.0,R,True
312,2000,ILLINOIS,DEMOCRAT,2589026,4742108,22.0,284804.0,R,False
313,2000,INDIANA,REPUBLICAN,1245836,2199302,12.0,171929.0,R,True
314,2000,IOWA,DEMOCRAT,638517,1353022,7.0,2073.0,R,False
315,2000,KANSAS,REPUBLICAN,622332,1072216,6.0,111529.0,R,True
316,2000,KENTUCKY,REPUBLICAN,872520,1544106,8.0,116800.0,R,True
317,2000,LOUISIANA,REPUBLICAN,927871,1765656,9.0,67765.0,R,True
318,2000,MAINE,DEMOCRAT,319951,651817,4.0,16669.0,R,False
319,2000,MARYLAND,DEMOCRAT,1144008,2025212,10.0,165092.0,R,False
320,2000,MASSACHUSETTS,DEMOCRAT,1616487,2733964,12.0,368994.0,R,False
321,2000,MICHIGAN,DEMOCRAT,2170418,4232501,18.0,108641.0,R,False
322,2000,MINNESOTA,DEMOCRAT,1168266,2438685,10.0,29305.0,R,False
323,2000,MISSISSIPPI,REPUBLICAN,572844,994184,7.0,84116.0,R,True
324,2000,MISSOURI,REPUBLICAN,1189924,2359892,11.0,39394.0,R,True
325,2000,MONTANA,REPUBLICAN,240178,410986,3.0,51527.0,R,True
326,2000,NEBRASKA,REPUBLICAN,433862,697019,5.0,101042.0,R,True
327,2000,NEVADA,REPUBLICAN,301575,609426,4.0,10800.0,R,True
328,2000,NEW HAMPSHIRE,REPUBLICAN,273559,569081,4.0,3607.0,R,True
329,2000,NEW JERSEY,DEMOCRAT,1788850,3187226,15.0,252340.0,R,False
330,2000,NEW MEXICO,DEMOCRAT,286783,598605,5.0,184.0,R,False
331,2000,NEW YORK,DEMOCRAT,3942215,6960215,33.0,841820.0,R,False
332,2000,NORTH CAROLINA,REPUBLICAN,1631163,2914990,14.0,186737.0,R,True
